player_name,team,league,age,position,country,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,type,appearances,player_id,goalsPrevented
Bruno Fernandes,Manchester United,Premier League,31,AM,Portugal,7.537037037037,203.5,27,7,24,7,16,8.8316593,23,1279,263,1542,82.944228274968,425,854,510,98,15,48.387096774194,44,14,3,0,0,39,31.707317073171,67,18,26,90,50.279329608939,16,36.363636363636,106,47.533632286996,2347,10.44776119403,5,3,0,1,5,1,6,1,32,35,0,0,7,107,59.444444444444,38,0,2,23,433,12,197,119,2050,32,20,5,0,30,4,23,0,0,4,0,0,0,0,33,4,0,0,0,0,0,27,60.0,20.0,98,31,123,117,28,1,0,1,180,37,25,56.818181818182,335.28571428571,0,0,0,480,1062,5,9.1894,0,133,5.0,2145655,overall,27,288205,
Declan Rice,Arsenal,Premier League,27,CM,England,7.49,224.7,30,4,14,3,5,6.0731214,9,1578,219,1797,87.813021702838,687,891,459,59,12,48.0,57,30,2,0,0,41,28.082191780822,36,12,14,77,56.204379562044,44,72.131147540984,121,61.111111111111,2585,11.111111111111,0,0,0,0,5,0,3,1,13,23,1,0,3,72,48.648648648649,65,1,0,15,406,11,106,58,2327,8,20,0,0,12,1,10,1,0,10,0,0,0,0,15,6,0,0,0,0,0,29,0.0,0.0,58,25,146,77,17,0,0,0,148,21,31,54.385964912281,646.25,0,0,0,743,1054,3,2.8732,0,154,11.0,2145603,overall,30,856714,
Bruno Guimarães,Newcastle United,Premier League,28,CM,Brazil,7.4869565217391,172.2,23,9,5,3,4,3.6492324,13,1018,159,1177,86.491079014443,384,634,372,39,13,37.142857142857,50,12,5,0,0,17,27.41935483871,32,17,10,115,51.801801801802,11,34.375,126,49.606299212598,2018,28.125,2,2,2,0,1,0,6,3,15,17,2,1,6,66,60.550458715596,29,0,0,33,319,16,92,58,1633,52,33,2,0,22,1,5,1,0,6,0,0,0,0,26,5,0,0,0,0,0,22,100.0,0.0,38,35,62,128,21,0,0,0,109,31,36,72.0,224.22222222222,0,0,0,413,764,5,4.8223,0,108,1.0,2135767,overall,23,866469,
Rodri,Manchester City,Premier League,29,DM,Spain,7.4529411764706,126.7,17,1,2,0,0,2.26895352,1,1217,137,1354,89.881831610044,485,732,287,23,6,46.153846153846,35,13,2,0,0,1,20.0,11,2,5,67,63.207547169811,28,77.777777777778,95,66.901408450704,1245,9.0909090909091,0,0,0,0,0,0,1,0,5,6,1,0,0,78,69.026548672566,34,0,3,10,172,7,112,80,1561,26,10,0,0,12,0,4,0,0,2,0,0,0,0,10,3,0,0,0,0,0,14,0.0,0.0,23,13,5,47,8,0,0,0,113,13,19,54.285714285714,1245.0,0,0,0,523,831,2,0.7617,1,91,2.0,2162749,overall,18,827606,
Gabriel Magalhães,Arsenal,Premier League,28,CB,Brazil,7.368,184.2,25,3,5,3,4,1.73381605,7,1259,160,1419,88.724453840733,747,512,180,6,1,50.0,32,18,3,0,0,1,20.0,18,5,7,60,75.949367088608,87,66.923076923077,147,70.334928229665,2166,16.666666666667,0,0,0,0,0,0,3,0,14,4,1,2,0,63,46.323529411765,149,1,2,2,181,2,78,35,1747,27,14,1,0,4,0,6,0,0,13,0,0,0,0,10,5,0,0,0,0,0,24,0.0,0.0,6,2,5,62,43,0,0,0,136,15,16,50.0,722.0,0,0,0,797,622,5,1.8798,37,46,25.0,2145611,overall,25,869792,
Erling Haaland,Manchester City,Premier League,25,CF,Norway,7.351724137931,213.2,29,22,8,24,7,2.08367601,29,201,104,305,65.901639344262,71,130,87,21,13,50.0,13,4,1,0,0,1,33.333333333333,102,49,35,49,47.572815533981,64,62.745098039216,113,55.121951219512,2418,21.56862745098,4,3,0,0,0,0,21,1,91,11,3,17,2,4,40.0,36,0,0,18,182,12,9,3,630,23,19,4,0,4,3,18,0,0,6,0,0,0,0,20,7,0,0,0,0,0,28,75.0,0.0,21,26,3,92,38,0,0,1,10,27,8,61.538461538462,109.90909090909,0,0,0,90,215,6,21.0095,0,31,1.0,2139121,overall,29,839956,
Jan Paul van Hecke,Brighton & Hove Albion,Premier League,25,CB,Netherlands,7.3178571428571,204.9,28,3,2,2,2,1.1841046,5,1695,254,1949,86.967675731144,1043,652,254,10,3,60.0,42,32,7,0,0,8,44.444444444444,18,8,3,75,65.217391304348,84,57.534246575342,159,60.919540229885,2491,16.666666666667,0,0,0,1,0,0,3,0,13,5,1,0,2,106,47.963800904977,146,1,0,3,284,3,182,97,2349,33,22,1,1,16,3,7,0,0,6,0,0,0,0,27,7,0,0,0,0,0,28,0.0,0.0,10,5,18,102,62,0,0,0,221,34,23,54.761904761905,830.33333333333,0,0,0,1099,850,5,2.118,10,83,24.0,2137114,overall,28,962012,
Elliot Anderson,Nottingham Forest,Premier League,23,CM,England,7.3033333333333,219.1,30,2,5,1,2,3.43578729,4,1679,275,1954,85.926305015353,752,927,493,45,40,54.054054054054,84,34,6,0,0,42,27.096774193548,36,8,12,187,54.838709677419,58,59.183673469388,245,55.808656036446,2685,5.5555555555556,1,1,0,1,2,0,1,1,15,21,0,0,2,104,58.426966292135,35,0,3,45,538,19,137,70,2702,66,44,0,0,33,2,16,0,0,6,0,0,0,0,33,9,0,0,0,0,0,30,100.0,0.0,45,74,155,194,40,0,0,0,178,42,53,63.095238095238,1342.5,0,0,0,823,1131,2,2.4856,0,250,12.0,2143746,overall,30,994546,
Virgil van Dijk,Liverpool,Premier League,34,CB,Netherlands,7.29,218.7,30,3,0,6,0,1.0911505,3,2053,241,2294,89.49433304272,1068,985,365,11,2,100.0,19,18,4,0,0,0,0.0,22,10,8,36,75.0,145,75.520833333333,181,75.416666666667,2700,13.636363636364,0,0,0,1,0,0,3,0,20,2,2,0,0,126,50.602409638554,225,2,1,1,261,1,131,74,2673,15,13,0,0,1,1,4,0,0,9,0,0,0,0,33,7,0,0,0,0,0,30,0.0,0.0,11,2,1,59,47,0,0,0,249,40,11,57.894736842105,900.0,0,0,0,1115,1179,3,2.6574,108,67,16.0,2134409,overall,30,151545,
Marc Guéhi,Manchester City,Premier League,25,CB,England,7.275,203.7,28,2,5,6,2,2.03411124,4,1521,201,1722,88.327526132404,863,658,245,14,5,55.555555555556,37,39,5,0,0,3,23.076923076923,27,7,13,67,60.36036036036,82,68.90756302521,149,64.782608695652,2520,7.4074074074074,0,0,1,0,0,0,2,0,26,1,1,0,1,63,39.873417721519,137,1,0,13,247,4,136,66,2116,25,18,2,0,10,0,7,0,0,10,0,0,0,0,23,7,0,0,0,0,0,28,0.0,0.0,14,9,13,81,37,0,0,0,158,30,24,64.864864864865,1260.0,0,0,0,923,799,4,3.5818,36,118,18.0,2143766,overall,28,877994,
